Name,Season,Age,Squad,Comp,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,PerGls,PerAst,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
messi,2004-2005,17,Barcelona,2 Leagues,8,1,160,1,0,0,0,0,0,0.56,0,0.56,0.56,0.56,,,,,,,,,
messi,2005-2006,18,Barcelona,2 Leagues,23,15,1233,7,4,0,0,2,0,0.51,0.29,0.8,0.51,0.8,,,,,,,,,
messi,2006-2007,19,Barcelona,2 Leagues,31,27,2368,15,3,0,0,3,0,0.57,0.11,0.68,0.57,0.68,,,,,,,,,
messi,2007-2008,20,Barcelona,2 Leagues,36,32,2701,16,14,5,5,4,0,0.53,0.47,1,0.37,0.83,,,,,,,,,
messi,2008-2009,21,Barcelona,2 Leagues,43,37,3443,32,16,3,4,3,0,0.84,0.42,1.25,0.76,1.18,,,,,,,,,
messi,2009-2010,22,Barcelona,2 Leagues,46,41,3792,42,9,1,1,3,0,1,0.21,1.21,0.97,1.19,,,,,,,,,
messi,2010-2011,23,Barcelona,2 Leagues,46,42,3904,43,22,5,6,3,0,0.99,0.51,1.5,0.88,1.38,,,,,,,,,
messi,2011-2012,24,Barcelona,2 Leagues,48,47,4260,64,21,14,16,8,0,1.35,0.44,1.8,1.06,1.5,,,,,,,,,
messi,2012-2013,25,Barcelona,2 Leagues,43,37,3476,54,13,4,4,1,0,1.4,0.34,1.73,1.29,1.63,,,,,,,,,
messi,2013-2014,26,Barcelona,2 Leagues,38,36,3131,36,11,9,10,2,0,1.03,0.32,1.35,0.78,1.09,,,,,,,,,
messi,2014-2015,27,Barcelona,3 Leagues,57,56,5062,58,27,6,9,6,0,1.03,0.48,1.51,0.92,1.4,,,,,,,,,Matches
messi,2015-2016,28,Barcelona,5 Leagues,48,46,4139,40,22,4,7,5,0,0.87,0.48,1.35,0.78,1.26,,,,,,,,,Matches
messi,2016-2017,29,Barcelona,4 Leagues,52,50,4448,54,16,9,10,9,0,1.09,0.32,1.42,0.91,1.23,,,,,,,,,Matches
messi,2017-2018,30,Barcelona,4 Leagues,54,48,4473,45,18,3,6,7,0,0.91,0.36,1.27,0.85,1.21,25.4,22.4,13.8,0.76,0.41,1.18,0.67,1.09,Matches
messi,2018-2019,31,Barcelona,4 Leagues,50,43,4029,51,19,5,6,3,0,1.14,0.42,1.56,1.03,1.45,30.2,25.7,17.6,0.77,0.45,1.21,0.65,1.1,Matches
messi,2019-2020,32,Barcelona,4 Leagues,32,30,2732,25,18,3,3,6,0,0.82,0.59,1.42,0.72,1.32,17.4,15.1,14.3,0.64,0.52,1.16,0.55,1.08,Matches
ronaldo,2002-2003,17,Sporting CP,1 League,25,11,1080,3,3,0,0,1,0,0.25,0.25,0.5,0.25,0.5,,,,,,,,,
ronaldo,2003-2004,18,Manchester Utd,2 Leagues,34,18,1839,4,7,0,0,4,1,0.2,0.34,0.54,0.2,0.54,,,,,,,,,
ronaldo,2004-2005,19,Manchester Utd,2 Leagues,40,31,2925,5,8,0,0,4,0,0.15,0.25,0.4,0.15,0.4,,,,,,,,,
ronaldo,2005-2006,20,Manchester Utd,2 Leagues,39,30,2792,9,6,0,0,9,1,0.29,0.19,0.48,0.29,0.48,,,,,,,,,
ronaldo,2006-2007,21,Manchester Utd,2 Leagues,45,42,3753,20,17,3,4,5,0,0.48,0.41,0.89,0.41,0.82,,,,,,,,,
ronaldo,2007-2008,22,Manchester Utd,2 Leagues,45,42,3762,39,8,5,6,7,1,0.93,0.19,1.12,0.81,1,,,,,,,,,
ronaldo,2008-2009,23,Manchester Utd,2 Leagues,45,42,3753,22,8,4,4,8,1,0.53,0.19,0.72,0.43,0.62,,,,,,,,,
ronaldo,2009-2010,24,Real Madrid,2 Leagues,35,33,2911,33,8,4,5,4,2,1.02,0.25,1.27,0.9,1.14,,,,,,,,,
ronaldo,2010-2011,25,Real Madrid,2 Leagues,46,44,3936,46,13,9,9,4,0,1.05,0.3,1.35,0.85,1.14,,,,,,,,,
ronaldo,2011-2012,26,Real Madrid,2 Leagues,48,47,4280,56,15,14,15,5,0,1.18,0.32,1.49,0.88,1.2,,,,,,,,,
ronaldo,2012-2013,27,Real Madrid,2 Leagues,46,42,3796,46,11,6,7,10,0,1.09,0.26,1.35,0.95,1.21,,,,,,,,,
ronaldo,2013-2014,28,Real Madrid,2 Leagues,41,41,3527,48,14,8,9,5,1,1.22,0.36,1.58,1.02,1.38,,,,,,,,,
ronaldo,2014-2015,29,Real Madrid,4 Leagues,50,49,4373,61,20,13,16,6,1,1.26,0.41,1.67,0.99,1.4,,,,,,,,,Matches
