team,name,nation,position,age,play,start,mplay,goal,assist,PK,PKatt,CrdY,CrdR,perG,perA,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,
barca,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,27,42,42,3780,0,2,0,0,1,0,0,0.05,0.05,0,0.05,0,0,0.7,0,0.02,0.02,0,0.02,Matches
barca,Gerard Piqué\Gerard-Pique,es ESP,DF,32,41,41,3620,1,0,0,0,19,0,0.02,0,0.02,0.02,0.02,2.4,2.4,0.8,0.07,0.02,0.09,0.07,0.09,Matches
barca,Lionel Messi\Lionel-Messi,ar ARG,FW,32,39,37,3362,27,23,5,5,7,0,0.72,0.62,1.34,0.59,1.2,20.8,17,16.8,0.63,0.5,1.13,0.51,1.02,Matches
barca,Antoine Griezmann\Antoine-Griezmann,fr FRA,FW,28,45,39,3314,15,4,0,0,4,0,0.41,0.11,0.52,0.41,0.52,9.3,9.3,3.9,0.28,0.12,0.4,0.28,0.4,Matches
barca,Clément Lenglet\Clement-Lenglet,fr FRA,DF,24,35,34,3040,3,1,0,0,11,2,0.09,0.03,0.12,0.09,0.12,1.1,1.1,0.6,0.04,0.02,0.05,0.04,0.05,Matches
barca,Sergio Busquets\Sergio-Busquets,es ESP,MF,31,39,36,3028,2,2,0,0,12,0,0.06,0.06,0.12,0.06,0.12,1.2,1.2,2.6,0.04,0.09,0.13,0.04,0.13,Matches
barca,Frenkie de Jong\Frenkie-de-Jong,nl NED,MF,22,38,34,2996,2,3,0,0,4,1,0.06,0.09,0.15,0.06,0.15,1.1,1.1,2.4,0.04,0.08,0.12,0.04,0.12,Matches
barca,Nélson Semedo\Nelson-Semedo,pt POR,DF,25,37,30,2628,0,4,0,0,4,0,0,0.14,0.14,0,0.14,0.7,0.7,2.3,0.03,0.09,0.12,0.03,0.12,Matches
barca,Sergi Roberto\Sergi-Roberto,es ESP,DF,27,34,29,2615,1,2,0,0,9,0,0.03,0.07,0.1,0.03,0.1,1.1,1.1,2,0.04,0.08,0.12,0.04,0.12,Matches
barca,Jordi Alba\Jordi-Alba,es ESP,DF,30,31,29,2444,2,4,0,0,8,0,0.07,0.15,0.22,0.07,0.22,1,1,3.6,0.04,0.16,0.2,0.04,0.2,Matches
