Name,Season,Age,Club,League,Gls
L.Messi,2019-2020,,BARCELONA,La Liga,25
C.Benzema,2019-2020,,REAL MADRID,La Liga,21
G.Moreno,2019-2020,,VILLARREAL,La Liga,18
L.Suarez,2019-2020,,BARCELONA,La Liga,16
R.Garcia,2019-2020,,BILBAO,La Liga,15
Vardy,2019-2020,,LEICESTER,Premier,23
P.Aubameyang,2019-2020,,ARSENAL,Premier,22
D.Ings,2019-2020,,SOUTHANPTON,Premier,22
R.Sterling,2019-2020,,CITY,Premier,20
M.Salah,2019-2020,,LIVERPOOL,Premier,19
C.Immobile,2019-2020,,LAZIO,Serie A,36
C.Ronaldo,2019-2020,,JUVE,Serie A,31
R.Lukaku,2019-2020,,INTER,Serie A,23
F.Caputo,2019-2020,,SASSUORO,Serie A,21
Pedro/Muriel/Zapata,2019-2020,,ATALANTA,Serie A,18
R.Lewandowski,2019-2020,,BAYERN,Bundesliga,34
T.Werner,2019-2020,,,Bundesliga,28
J.Sancho,2019-2020,,,Bundesliga,17
W.Weghorst,2019-2020,,,Bundesliga,16
R.Heninings,2019-2020,,,Bundesliga,15
Mbappe/WBY,2019-2020,,PSG/MONACO,Ligue 1,18
M.Dembele,2019-2020,,,Ligue 1,16
Neymar,2019-2020,,,Ligue 1,13
oshimhen,2019-2020,,,Ligue 1,13
M.Icardi,2019-2020,,,Ligue 1,12
