Name,Season,Age,Club,Country,Comp,LgRank,90s,Cmp,Att,Cmpper,TotDist,PrgDist,SCmp,SAtt,SCmp%,MCmp,MAtt,MCmp%,LCmp,LAtt,LCmp%,Ast,xA,A-xA,KP,Final,PPA,CrsPA,Prog,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp??,Off,Out,Int,Blocks,Matches
Frenkie deJong,2019-2020,22,Barcelona,es ESP,1. La Liga,2nd,23.5,1536,1661,92.5,25880,6035,33,58,56.9,1255,1330,94.4,248,273,90.8,2,2.4,-0.4,23,154,21,2,113,1630,31,17,9,315,28,4,1,0,0,0,1361,192,108,85,1520,35,13,3,1536,5,9,26,22,Matches
Arthur Melo,2018-2019,21,Barcelona,es ESP,1. La Liga,1st,15.9,1211,1302,93,21656,4702,20,30,66.7,941,988,95.2,250,284,88,1,1.8,-0.8,17,139,8,0,83,1270,32,24,4,224,21,4,4,0,1,0,1131,102,69,49,1227,14,4,7,1211,6,7,17,10,Matches
Arthur Melo,2019-2020,22,Barcelona,es ESP,1. La Liga,2nd,13.1,961,1060,90.7,16631,3246,24,46,52.2,764,812,94.1,173,202,85.6,3,1.1,1.9,10,101,12,0,57,1012,48,25,2,205,23,14,14,6,3,1,852,137,71,36,996,16,9,2,961,3,9,10,19,Matches
Sergio Busquets,2017-2018,29,Barcelona,es ESP,1. La Liga,1st,28.8,1945,2173,89.5,37505,11134,24,41,58.5,1466,1606,91.3,455,526,86.5,2,1.7,0.3,23,203,14,0,179,2115,58,56,1,400,51,0,0,0,0,0,1758,202,213,372,1678,85,1,5,1945,5,15,31,23,Matches
Sergio Busquets,2018-2019,30,Barcelona,es ESP,1. La Liga,1st,30.2,2163,2397,90.2,40275,10802,46,75,61.3,1651,1789,92.3,466,533,87.4,1,1.1,-0.1,15,239,15,0,175,2298,99,95,4,363,62,2,0,0,0,0,1911,235,251,384,1876,99,4,9,2163,3,19,37,37,Matches
Sergio Busquets,2019-2020,31,Barcelona,es ESP,1. La Liga,2nd,27.6,2332,2584,90.2,42551,11344,57,89,64,1838,1991,92.3,437,504,86.7,2,2.8,-0.8,22,238,29,0,194,2489,95,90,14,400,52,1,0,0,0,0,1955,345,284,395,2082,69,4,8,2332,9,28,36,26,Matches
Ivan Rakitic,2017-2018,29,Barcelona,es ESP,1. La Liga,1st,31.5,2249,2533,88.8,42159,11840,22,49,44.9,1757,1888,93.1,470,596,78.9,3,3.9,-0.9,29,244,38,3,217,2452,81,24,6,393,75,56,46,3,4,1,2092,191,250,295,2129,75,10,11,2249,9,18,39,41,Matches
Ivan Rakitic,2018-2019,30,Barcelona,es ESP,1. La Liga,1st,29.4,2357,2602,90.6,43441,11078,42,65,64.6,1829,1952,93.7,486,585,83.1,5,2.1,2.9,16,275,34,4,199,2534,68,41,8,382,79,24,7,2,2,0,2130,220,252,335,2149,67,20,16,2357,15,19,36,30,Matches
Ivan Rakitic,2019-2020,31,Barcelona,es ESP,1. La Liga,2nd,17.7,1322,1485,89,22986,5160,45,64,70.3,1037,1136,91.3,240,285,84.2,3,1.6,1.4,18,119,20,0,88,1410,75,33,6,170,47,32,31,17,4,1,1109,209,167,174,1237,45,11,8,1322,4,9,26,24,Matches
Arturo Vidal,2017-2018,30,Barcelona,de GER,1. Bundesliga,1st,16.2,1046,1186,88.2,20254,4589,16,31,51.6,780,863,90.4,250,292,85.6,2,2.4,-0.4,24,98,21,1,98,1151,35,22,2,226,41,8,2,1,0,1,819,199,168,188,905,57,11,7,1046,6,15,10,13,Matches
Arturo Vidal,2018-2019,31,Barcelona,es ESP,1. La Liga,1st,21.4,1356,1503,90.2,22672,4574,27,48,56.3,1125,1200,93.8,204,255,80,7,5,2,22,97,23,0,82,1471,32,25,8,292,38,6,1,0,0,0,1256,119,128,215,1213,43,6,6,1356,5,13,16,18,Matches
Arturo Vidal,2019-2020,32,Barcelona,es ESP,1. La Liga,2nd,18.6,1115,1252,89.1,17954,3708,32,60,53.3,934,1016,91.9,149,176,84.7,2,3.3,-1.3,21,69,14,2,64,1230,22,14,4,201,23,12,1,0,0,0,970,175,107,199,994,23,7,3,1115,3,8,18,27,Matches
Riqui Puig,2018-2019,18,Barcelona,es ESP,1. La Liga,1st,1.7,111,122,91,1817,255,1,1,100,96,104,92.3,14,17,82.4,0,0.6,-0.6,2,13,1,0,6,121,1,1,2,23,4,0,0,0,0,0,111,6,5,6,115,0,0,0,111,1,1,1,1,Matches
Riqui Puig,2019-2020,19,Barcelona,es ESP,1. La Liga,2nd,5.7,394,433,91,6796,1044,13,21,61.9,306,331,92.4,75,81,92.6,2,1.8,0.2,10,31,8,0,21,425,8,3,2,70,10,1,3,1,0,0,337,64,32,23,399,4,2,5,394,1,1,3,8,Matches
Carles Alena,2018-2019,20,Barcelona,es ESP,1. La Liga,1st,7.1,540,587,92,9394,1852,6,14,42.9,432,456,94.7,102,117,87.2,0,0.6,-0.6,9,58,5,0,40,575,12,5,1,106,13,3,1,0,0,0,497,59,31,545,29,4,6,1,540,2,4,6,9,Matches
Federico Valverde,2017-2018,19,Real Madrid,es ESP,1. La Liga,18th,13.7,451,595,75.8,8686,2312,2,9,22.2,354,446,79.4,95,140,67.9,0,0.6,-0.6,11,60,11,2,56,583,12,4,0,107,29,13,2,0,0,0,419,58,118,52,493,35,3,3,451,0,15,16,19,Matches
Federico Valverde,2018-2019,20,Real Madrid,es ESP,1. La Liga,3rd,7.3,325,367,88.6,5615,1612,3,8,37.5,258,280,92.1,64,79,81,0,0.4,-0.4,9,41,7,1,33,363,4,2,2,65,14,4,2,1,1,0,287,47,33,22,329,11,0,0,325,1,3,8,4,Matches
Federico Valverde,2019-2020,21,Real Madrid,es ESP,1. La Liga,1st,21.2,985,1119,88,16346,3944,23,39,59,808,885,91.3,154,195,79,5,3.5,1.5,19,77,17,3,79,1107,12,7,5,141,32,16,0,0,0,0,884,135,100,87,967,41,5,2,985,2,11,22,18,Matches
Luka Modric,2017-2018,31,Real Madrid,es ESP,1. La Liga,3rd,21.8,1370,1548,88.5,26440,8203,14,29,48.3,1056,1145,92.2,300,374,80.2,5,4.3,0.7,39,179,49,3,172,1521,27,15,8,253,52,19,8,0,0,0,1248,106,194,194,1320,23,2,3,1370,6,17,38,24,Matches
Luka Modric,2018-2019,32,Real Madrid,es ESP,1. La Liga,3rd,29,1725,1981,87.1,32100,8616,26,65,40,1309,1420,92.2,390,496,78.6,6,3.2,2.8,48,205,41,5,197,1881,100,50,9,320,96,73,37,0,1,4,1475,244,262,248,1659,48,13,9,1725,7,22,34,46,Matches
Luka Modric,2019-2020,33,Real Madrid,es ESP,1. La Liga,1st,22.2,1278,1478,86.5,23874,6221,32,71,45.1,944,1024,92.2,302,383,78.9,7,3.4,3.6,42,123,31,6,142,1406,72,47,2,231,78,53,22,5,13,0,1057,214,207,160,1249,40,3,16,1278,5,18,14,37,Matches
Toni Kroos,2017-2018,27,Real Madrid,es ESP,1. La Liga,3rd,25.1,1919,2160,88.8,38649,12092,25,35,71.4,1385,1476,93.8,509,649,78.4,5,5.8,-0.8,66,275,36,6,274,1963,197,71,2,339,126,148,117,1,4,0,1680,139,341,330,1791,19,9,5,1919,5,13,32,21,Matches
Toni Kroos,2018-2019,28,Real Madrid,es ESP,1. La Liga,3rd,24.7,1966,2204,89.2,39897,11028,29,53,54.7,1416,1489,95.1,521,662,78.7,4,3.9,0.1,60,225,17,3,216,1963,241,115,5,297,159,136,118,8,19,10,1639,181,384,293,1861,28,8,6,1966,13,12,15,23,Matches
Toni Kroos,2019-2020,29,Real Madrid,es ESP,1. La Liga,1st,29.5,2233,2512,88.9,44640,11749,40,56,71.4,1622,1700,95.4,571,756,75.5,5,4.4,0.6,63,254,37,7,235,2239,273,127,5,290,202,147,140,36,45,9,1836,230,446,407,2062,23,6,5,2233,13,30,23,15,Matches
Casemiro,2017-2018,25,Real Madrid,es ESP,1. La Liga,3rd,28.8,1515,1736,87.3,30103,7802,18,40,45,1113,1229,90.6,384,467,82.2,3,2.1,0.9,20,148,16,3,125,1712,24,22,3,280,86,8,0,0,0,0,1283,152,301,159,1445,92,1,9,1515,7,22,21,29,Matches
Casemiro,2018-2019,26,Real Madrid,es ESP,1. La Liga,3rd,25.7,1438,1629,88.3,28199,7180,28,46,60.9,1044,1140,91.6,366,443,82.6,0,0.6,-0.6,13,110,14,1,110,1574,55,50,0,224,76,8,0,0,0,0,1165,213,251,154,1341,82,5,9,1438,10,20,12,19,Matches
Casemiro,2019-2020,27,Real Madrid,es ESP,1. La Liga,1st,34.3,1826,2186,83.5,37514,9485,46,82,56.1,1289,1453,88.7,491,651,75.4,3,0.3,2.7,9,183,21,4,152,2133,53,53,8,345,151,23,0,0,0,0,1379,322,485,192,1795,115,0,20,1826,8,36,36,35,Matches
Saul Niguez,2017-2018,22,Atletico Madrid,es ESP,1. La Liga,2nd,35.1,1413,1747,80.9,24097,7374,21,45,46.7,1169,1375,85,223,327,68.2,4,2.8,1.2,21,151,22,2,176,1724,23,3,0,328,24,19,0,0,0,0,1232,225,290,1226,290,157,17,8,1413,10,26,28,38,Matches
Saul Niguez,2018-2019,23,Atletico Madrid,es ESP,1. La Liga,2nd,32.5,1246,1619,77,20665,6330,17,56,30.4,1042,1240,84,187,323,57.9,1,1.4,-0.4,15,109,23,5,138,1524,95,11,3,298,24,49,0,0,0,0,1037,272,310,1082,251,141,81,4,1246,4,33,46,48,Matches
Saul Niguez,2019-2020,24,Atletico Madrid,es ESP,1. La Liga,3rd,34.1,1376,1732,79.4,24196,8563,33,78,42.3,1097,1309,83.8,246,345,71.3,0,1.6,-1.6,18,135,23,3,192,1639,93,22,2,282,36,30,0,0,0,0,1034,314,384,1198,254,130,68,8,1376,9,29,27,45,Matches
Koke,2017-2018,25,Atletico Madrid,es ESP,1. La Liga,2nd,30.6,1659,2078,79.8,29674,9591,34,60,56.7,1296,1466,88.4,329,552,59.6,3,7.5,-4.5,54,188,37,2,221,1914,164,68,4,380,80,138,87,0,0,0,1511,160,407,185,1823,51,4,6,1659,19,25,38,47,Matches
Koke,2018-2019,26,Atletico Madrid,es ESP,1. La Liga,2nd,28.7,1698,2057,82.5,28913,8922,46,72,63.9,1357,1484,91.4,295,501,58.9,5,3.3,1.7,59,181,35,5,191,1892,165,65,6,328,58,118,85,12,11,5,1423,229,405,176,1783,65,11,10,1698,8,28,31,37,Matches
Koke,2019-2020,27,Atletico Madrid,es ESP,1. La Liga,3rd,30,1436,1752,82,22519,6076,63,96,65.6,1177,1301,90.5,196,355,55.2,5,5.3,-0.3,57,119,23,5,156,1587,165,84,9,258,34,87,63,15,28,4,1204,237,311,141,1509,67,6,7,1436,16,27,24,30,Matches
Thomas Partey,2017-2018,24,Atletico Madrid,es ESP,1. La Liga,2nd,26.4,1190,1448,82.2,22438,6658,12,26,46.2,919,1070,85.9,259,352,73.6,0,0.5,-0.5,12,124,19,2,125,1406,42,8,0,291,44,20,5,0,0,0,1076,169,203,83,1234,69,26,9,1190,7,25,26,30,Matches
Thomas Partey,2018-2019,25,Atletico Madrid,es ESP,1. La Liga,2nd,23,1170,1406,83.2,21496,6716,15,32,46.9,919,1034,88.9,236,340,69.4,4,1.1,2.9,18,127,24,2,149,1338,68,32,3,251,52,27,18,0,1,0,995,207,204,90,1226,45,15,4,1170,9,24,32,18,Matches
Thomas Partey,2019-2020,26,Atletico Madrid,es ESP,1. La Liga,3rd,28.3,1414,1704,83,26582,8532,38,60,63.3,1074,1203,89.3,302,441,68.5,0,1,-1,17,179,21,1,186,1635,69,49,7,298,52,26,16,5,8,2,1152,249,303,120,1467,63,4,4,1414,11,32,25,25,Matches
Ever Banega,2017-2018,29,Sevilla,es ESP,1. La Liga,7th,26.7,1846,2265,81.5,37998,13553,10,37,27,1325,1471,90.1,511,757,67.5,3,5.3,-2.3,70,281,37,4,362,2069,196,96,2,393,96,144,89,0,0,0,1670,163,432,234,1969,44,10,3,1846,20,36,47,50,Matches
Ever Banega,2018-2019,30,Sevilla,es ESP,1. La Liga,6th,29.6,1820,2208,82.4,40151,13352,18,52,34.6,1237,1357,91.2,565,799,70.7,5,3.5,1.5,52,224,40,5,303,1966,242,140,2,401,136,131,94,10,8,6,1475,255,478,228,1911,47,7,5,1820,10,29,43,47,Matches
Ever Banega,2019-2020,31,Sevilla,es ESP,1. La Liga,4th,27.5,1950,2372,82.2,42571,12818,21,62,33.9,1347,1506,89.4,582,804,72.4,7,5,2,59,268,33,7,304,2113,259,128,12,345,193,163,122,42,57,0,1550,319,503,211,2092,42,9,5,1950,16,44,41,54,Matches
Gudelj,2019-2020,27,Sevilla,es ESP,1. La Liga,4th,13.5,614,678,90.6,11782,2334,11,20,55,458,487,94,145,171,84.8,0,0.1,-0.1,2,38,3,1,23,649,29,28,0,86,24,3,0,0,0,0,541,68,69,42,577,39,1,6,614,0,12,2,7,Matches
Oliver Torres,2019-2020,24,Sevilla,es ESP,1. La Liga,4th,17.7,810,994,81.5,16210,4067,20,48,41.7,591,668,88.5,199,278,71.6,3,2.1,0.9,17,95,26,4,94,965,29,9,5,142,71,42,9,3,1,0,631,160,203,86,858,25,8,10,810,3,20,11,31,Matches
Fernando,2019-2020,32,Sevilla,es ESP,1. La Liga,4th,29.5,1380,1536,89.8,29498,6699,28,40,70,911,994,91.6,441,502,87.8,3,0.6,2.4,11,87,7,3,75,1483,53,44,1,185,75,2,1,0,1,0,1066,266,204,166,1221,89,8,13,1380,3,18,10,8,Matches
Santi Cazorla,2018-2019,33,Villarreal,es ESP,1. La Liga,14th,29.4,1413,1744,81,29624,9487,16,31,51.6,992,1116,88.9,405,597,67.8,10,6.5,3.5,73,163,50,10,245,1541,203,82,5,256,123,158,114,19,29,5,1187,190,367,527,1143,57,7,4,1413,11,21,35,27,Matches
Santi Cazorla,2019-2020,34,Villarreal,es ESP,1. La Liga,5th,27.2,1414,1733,81.6,29753,8558,13,44,29.5,993,1111,89.4,408,578,70.6,9,6.6,2.4,66,190,49,10,230,1550,183,73,8,232,118,135,96,27,43,10,1135,228,370,549,1113,43,10,8,1414,10,30,28,31,Matches
Vicente Iborra,2018-2019,30,Villarreal,es ESP,1. La Liga,14th,18.5,632,787,80.3,11252,2576,11,28,39.3,499,600,83.2,122,159,76.7,1,0.7,0.3,5,50,7,0,51,771,16,14,3,198,17,1,0,0,0,0,515,156,116,131,529,59,2,13,632,3,13,23,17,Matches
Vicente Iborra,2019-2020,31,Villarreal,es ESP,1. La Liga,5th,29.4,1247,1446,86.2,25926,5676,20,36,55.6,879,979,89.8,348,431,80.7,2,0.6,1.4,8,110,5,0,89,1385,61,58,1,226,55,3,0,0,0,0,969,225,252,213,1071,92,3,12,1247,3,22,13,17,Matches
Manu Trigueros,2017-2018,25,Villarreal,es ESP,1. La Liga,5th,29.9,1564,1850,84.5,31563,8996,10,32,31.3,1156,1281,90.2,398,537,74.1,4,4.1,-0.1,48,178,32,7,179,1746,104,60,2,304,74,85,42,0,0,0,1422,130,298,437,1352,46,2,6,1564,11,21,25,42,Matches
Manu Trigueros,2018-2019,26,Villarreal,es ESP,1. La Liga,14th,17.2,863,1006,85.8,16473,4705,9,20,45,650,707,91.9,204,279,73.1,0,1.3,-1.3,14,95,19,0,92,958,48,35,2,118,18,27,13,1,0,0,763,109,134,255,700,42,0,3,863,5,9,14,12,Matches
