season,Age,Squad,Comp,MP,Starts,Min,goal,Ast,PK,PKatt,CrdY,CrdR,g9,Ast_2,G+A,G-PK,G+A-PK,xG,npxG,xA,xG_3,xA_4,xG+xA,npxG_5,npxG+xA,Matches
2010-2011,18,Inter,2 Leagues,19,10,1065,1,1,0,0,1,0,0.08,0.08,0.17,0.08,0.17,,,,,,,,,
2011-2012,19,Espanyol,1 League,16,14,1177,5,1,0,0,3,1,0.38,0.08,0.46,0.38,0.46,,,,,,,,,
2011-2012,19,Inter,2 Leagues,8,5,327,1,1,0,0,1,0,0.28,0.28,0.55,0.28,0.55,,,,,,,,,
2012-2013,20,Inter,2 Leagues,15,8,687,2,0,0,0,0,0,0.26,0,0.26,0.26,0.26,,,,,,,,,
2012-2013,20,Liverpool,1 League,13,12,923,3,6,0,0,0,0,0.29,0.59,0.88,0.29,0.88,,,,,,,,,
2013-2014,21,Liverpool,1 League,33,28,2325,5,7,0,0,1,0,0.19,0.27,0.46,0.19,0.46,,,,,,,,,
2014-2015,22,Liverpool,5 Leagues,52,47,4083,8,6,0,0,4,0,0.18,0.13,0.31,0.18,0.31,,,,,,,,,Matches
2015-2016,23,Liverpool,4 Leagues,43,38,3207,12,7,0,0,6,1,0.34,0.2,0.53,0.34,0.53,,,,,,,,,Matches
2016-2017,24,Liverpool,3 Leagues,36,31,2514,14,9,0,0,2,0,0.5,0.32,0.82,0.5,0.82,,,,,,,,,Matches
2017-2018,25,Liverpool,3 Leagues,20,18,1501,12,8,1,1,0,0,0.72,0.48,1.2,0.66,1.14,2.6,2.6,4.4,0.21,0.35,0.56,0.21,0.56,Matches
2017-2018,25,Barcelona,2 Leagues,22,17,1475,10,6,1,1,1,0,0.61,0.37,0.98,0.55,0.92,3.1,3.1,3.8,0.21,0.26,0.47,0.21,0.47,Matches
2018-2019,26,Barcelona,4 Leagues,54,38,3336,11,5,2,2,2,0,0.3,0.13,0.43,0.24,0.38,10.8,10.8,4.6,0.34,0.14,0.48,0.34,0.48,Matches
2019-2020,27,Bayern Munich,3 Leagues,32,22,2033,9,8,1,1,0,0,0.4,0.35,0.75,0.35,0.71,10,9.3,4.4,0.5,0.22,0.71,0.46,0.68,Matches
