Season,Age,Squad,Comp,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,G9,Ast_2,G+A,G-PK,G+A-PK,xG,npxG,xA,xG_3,xA_4,xG+xA,npxG_5,npxG+xA,Matches
2007-2008,16,Lille,1 League,4,0,37,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2008-2009,17,Lille,1 League,30,13,1266,4,1,0,0,1,0,0.28,0.07,0.36,0.28,0.36,,,,,,,,,
2009-2010,18,Lille,2 Leagues,46,38,3336,7,9,0,0,4,0,0.19,0.24,0.43,0.19,0.43,,,,,,,,,
2010-2011,19,Lille,2 Leagues,45,39,3449,7,8,0,0,2,0,0.18,0.21,0.39,0.18,0.39,,,,,,,,,
2011-2012,20,Lille,2 Leagues,44,41,3747,20,16,9,9,3,0,0.48,0.38,0.86,0.26,0.65,,,,,,,,,
2012-2013,21,Chelsea,3 Leagues,47,40,3530,10,15,2,3,2,0,0.25,0.38,0.64,0.2,0.59,,,,,,,,,
2013-2014,22,Chelsea,2 Leagues,44,40,3569,16,7,5,5,2,0,0.4,0.18,0.58,0.28,0.45,,,,,,,,,
2014-2015,23,Chelsea,4 Leagues,52,49,4433,19,11,6,8,3,0,0.39,0.22,0.61,0.26,0.49,,,,,,,,,Matches
2015-2016,24,Chelsea,5 Leagues,43,35,3079,6,7,1,2,2,0,0.18,0.2,0.38,0.15,0.35,,,,,,,,,Matches
2016-2017,25,Chelsea,3 Leagues,43,39,3353,17,7,2,3,3,0,0.46,0.19,0.64,0.4,0.59,,,,,,,,,Matches
2017-2018,26,Chelsea,4 Leagues,51,42,3718,17,11,4,4,3,0,0.41,0.27,0.68,0.31,0.58,8,6.4,7.4,0.29,0.28,0.57,0.24,0.51,Matches
2018-2019,27,Chelsea,4 Leagues,52,40,3909,21,17,6,6,2,0,0.48,0.39,0.87,0.35,0.74,13.2,8.7,11.5,0.35,0.31,0.66,0.23,0.54,Matches
2019-2020,28,Real Madrid,2 Leagues,15,14,1115,1,2,0,0,1,0,0.08,0.16,0.24,0.08,0.24,2.8,2.8,1.7,0.23,0.14,0.37,0.23,0.37,Matches
