Season,Age,Squad,Comp,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,G9,Ast_2,G+A,G-PK,G+A-PK,xG,npxG,xA,xG_3,xA_4,xG+xA,npxG_5,npxG+xA,Matches
2010-2011,19,Porto,2 Leagues,24,14,1322,3,11,0,0,3,0,0.2,0.75,0.95,0.2,0.95,,,,,,,,,
2011-2012,20,Porto,3 Leagues,34,27,2443,14,10,1,1,3,1,0.52,0.37,0.88,0.48,0.85,,,,,,,,,
2012-2013,21,Porto,2 Leagues,32,25,2356,11,10,1,2,5,0,0.42,0.38,0.8,0.38,0.76,,,,,,,,,
2013-2014,22,Monaco,1 League,34,30,2631,9,13,2,2,1,0,0.31,0.44,0.75,0.24,0.68,,,,,,,,,
2014-2015,23,Real Madrid,4 Leagues,43,42,3294,16,15,0,0,8,0,0.44,0.41,0.85,0.44,0.85,,,,,,,,,Matches
2015-2016,24,Real Madrid,3 Leagues,32,21,1857,8,10,0,0,1,0,0.39,0.48,0.87,0.39,0.87,,,,,,,,,Matches
2016-2017,25,Real Madrid,4 Leagues,32,20,1803,11,8,1,1,2,0,0.55,0.4,0.95,0.5,0.9,,,,,,,,,Matches
2017-2018,26,Bayern Munich,3 Leagues,39,30,2641,8,14,0,0,3,0,0.27,0.48,0.75,0.27,0.75,4.3,4.3,7.3,0.24,0.41,0.64,0.24,0.64,Matches
2018-2019,27,Bayern Munich,3 Leagues,28,19,1649,7,5,0,0,4,0,0.38,0.27,0.65,0.38,0.65,5.7,5.7,5.4,0.35,0.33,0.68,0.35,0.68,Matches
2019-2020,28,Real Madrid,4 Leagues,13,8,651,1,2,0,0,1,0,0.14,0.28,0.41,0.14,0.41,1.1,1.1,1.8,0.23,0.39,0.61,0.23,0.61,Matches
