Season,Age,Squad,Comp,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,G9,Ast_2,G+A,G-PK,G+A-PK,xG,npxG,xA,xG_3,xA_4,xG+xA,npxG_5,npxG+xA,Matches
2011-2012,19,Metz,1 League,19,12,1176,1,1,0,0,4,0,0.08,0.08,0.15,0.08,0.15,,,,,,,,,
2012-2013,20,RB Salzburg,1 League,26,25,2121,16,8,0,0,7,1,0.68,0.34,1.02,0.68,1.02,,,,,,,,,
2013-2014,21,RB Salzburg,2 Leagues,42,39,3223,17,15,0,0,7,2,0.47,0.42,0.89,0.47,0.89,,,,,,,,,
2014-2015,22,RB Salzburg,1 League,4,4,294,2,3,0,0,1,1,0.61,0.92,1.53,0.61,1.53,,,,,,,,,Matches
2014-2015,22,Southampton,2 Leagues,32,26,2272,10,3,0,0,6,0,0.4,0.12,0.51,0.4,0.51,,,,,,,,,Matches
2015-2016,23,Southampton,3 Leagues,40,33,2841,14,6,0,1,6,2,0.44,0.19,0.63,0.44,0.63,,,,,,,,,Matches
2016-2017,24,Liverpool,2 Leagues,29,28,2415,13,7,0,0,4,0,0.48,0.26,0.75,0.48,0.75,,,,,,,,,Matches
2017-2018,25,Liverpool,3 Leagues,42,41,3284,20,9,0,0,5,1,0.55,0.25,0.79,0.55,0.79,10.8,10.8,5,0.42,0.2,0.62,0.42,0.62,Matches
2018-2019,26,Liverpool,4 Leagues,50,49,4295,26,2,0,1,4,0,0.54,0.04,0.59,0.54,0.59,22.7,21.8,6,0.48,0.13,0.61,0.46,0.59,Matches
2019-2020,27,Liverpool,4 Leagues,36,33,2900,18,9,0,0,5,0,0.56,0.28,0.84,0.56,0.84,14,14,6.5,0.47,0.22,0.68,0.47,0.68,Matches
