season,age,club,,mp,,,goal,assist,g9,a9,,,
2004-2005,17,Barcelona,2 Leagues,8,1,160,1,0,0.56,0,0.56,0.56,0.56
2005-2006,18,Barcelona,2 Leagues,23,15,1233,7,4,0.51,0.29,0.8,0.51,0.8
2006-2007,19,Barcelona,2 Leagues,31,27,2368,15,3,0.57,0.11,0.68,0.57,0.68
2007-2008,20,Barcelona,2 Leagues,36,32,2701,16,14,0.53,0.47,1,0.37,0.83
2008-2009,21,Barcelona,2 Leagues,43,37,3443,32,16,0.84,0.42,1.25,0.76,1.18
2009-2010,22,Barcelona,2 Leagues,46,41,3792,42,9,1,0.21,1.21,0.97,1.19
2010-2011,23,Barcelona,2 Leagues,46,42,3904,43,22,0.99,0.51,1.5,0.88,1.38
2011-2012,24,Barcelona,2 Leagues,48,47,4260,64,21,1.35,0.44,1.8,1.06,1.5
2012-2013,25,Barcelona,2 Leagues,43,37,3476,54,13,1.4,0.34,1.73,1.29,1.63
2013-2014,26,Barcelona,2 Leagues,38,36,3131,36,11,1.03,0.32,1.35,0.78,1.09
2014-2015,27,Barcelona,3 Leagues,57,56,5062,58,27,1.03,0.48,1.51,0.92,1.4
2015-2016,28,Barcelona,5 Leagues,48,46,4139,40,22,0.87,0.48,1.35,0.78,1.26
2016-2017,29,Barcelona,4 Leagues,52,50,4448,54,16,1.09,0.32,1.42,0.91,1.23
2017-2018,30,Barcelona,4 Leagues,54,48,4473,45,18,0.91,0.36,1.27,0.85,1.21
2018-2019,31,Barcelona,4 Leagues,50,43,4029,51,19,1.14,0.42,1.56,1.03,1.45
2019-2020,32,Barcelona,4 Leagues,31,29,2642,24,16,0.82,0.55,1.36,0.72,1.26
