season,Age,Squad,Comp,MP,Starts,Min,goal,Ast,PK,PKatt,CrdY,CrdR,g9,Ast_2,G+A,G-PK,G+A-PK,xG,npxG,xA,xG_3,xA_4,xG+xA,npxG_5,npxG+xA,Matches
2006-2007,17,Schalke 04,1 League,19,7,884,0,1,0,0,1,0,0,0.1,0.1,0,0.1,,,,,,,,,
2007-2008,18,Schalke 04,2 Leagues,15,9,825,0,2,0,0,1,0,0,0.22,0.22,0,0.22,,,,,,,,,
2007-2008,18,Werder Bremen,1 League,12,6,620,1,0,0,0,0,0,0.15,0,0.15,0.15,0.15,,,,,,,,,
2008-2009,19,Werder Bremen,2 Leagues,34,26,2541,3,14,0,0,2,1,0.11,0.5,0.6,0.11,0.6,,,,,,,,,
2009-2010,20,Werder Bremen,2 Leagues,39,37,3258,9,20,1,2,2,0,0.25,0.55,0.8,0.22,0.77,,,,,,,,,
2010-2011,21,Real Madrid,2 Leagues,47,39,3327,7,22,0,0,2,0,0.19,0.6,0.78,0.19,0.78,,,,,,,,,
2011-2012,22,Real Madrid,2 Leagues,45,40,3360,6,21,0,0,5,1,0.16,0.56,0.72,0.16,0.72,,,,,,,,,
2012-2013,23,Real Madrid,2 Leagues,42,31,2758,10,17,0,0,6,0,0.33,0.55,0.88,0.33,0.88,,,,,,,,,
2013-2014,24,Real Madrid,1 League,2,2,132,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013-2014,24,Arsenal,2 Leagues,34,33,2808,6,11,0,2,1,0,0.19,0.35,0.54,0.19,0.54,,,,,,,,,
2014-2015,25,Arsenal,3 Leagues,31,30,2628,5,7,0,0,2,0,0.17,0.24,0.41,0.17,0.41,,,,,,,,,Matches
2015-2016,26,Arsenal,5 Leagues,45,45,3926,8,20,0,0,7,0,0.18,0.46,0.64,0.18,0.64,,,,,,,,,Matches
2016-2017,27,Arsenal,3 Leagues,44,41,3740,12,14,0,0,2,0,0.29,0.34,0.63,0.29,0.63,,,,,,,,,Matches
2017-2018,28,Arsenal,3 Leagues,35,33,2952,5,12,0,0,4,0,0.15,0.37,0.52,0.15,0.52,4.4,4.4,7.3,0.18,0.3,0.49,0.18,0.49,Matches
2018-2019,29,Arsenal,3 Leagues,35,28,2408,6,3,0,0,3,0,0.22,0.11,0.34,0.22,0.34,2.7,2.7,6.6,0.1,0.25,0.35,0.1,0.35,Matches
2019-2020,30,Arsenal,4 Leagues,23,22,1799,1,3,0,0,1,0,0.05,0.15,0.2,0.05,0.2,1.5,1.5,2.5,0.09,0.14,0.23,0.09,0.23,Matches
