Season,Age,Squad,Comp,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,G9,A9,G+A,G-PK,G+A-PK,xG,npxG,xA,xG_3,xA_4,xG+xA,npxG_5,npxG+xA,Matches
2010-2011,22,Catania,1 League,36,30,2553,4,4,0,0,3,0,0.14,0.14,0.28,0.14,0.28,,,,,,,,,
2011-2012,23,Catania,1 League,34,33,2758,4,1,0,1,1,0,0.13,0.03,0.16,0.13,0.16,,,,,,,,,
2012-2013,24,Catania,1 League,36,34,2962,8,7,0,0,5,0,0.24,0.21,0.46,0.24,0.46,,,,,,,,,
2013-2014,25,Metalist Kharkiv,1 League,23,20,1717,3,6,0,0,4,0,0.16,0.31,0.47,0.16,0.47,,,,,,,,,
2014-2015,26,Atalanta,2 Leagues,25,19,1586,3,2,0,0,2,1,0.17,0.11,0.28,0.17,0.28,,,,,,,,,Matches
2015-2016,27,Atalanta,2 Leagues,36,34,2872,7,7,0,0,4,1,0.22,0.22,0.44,0.22,0.44,,,,,,,,,Matches
2016-2017,28,Atalanta,2 Leagues,39,38,3204,16,10,2,2,6,0,0.45,0.28,0.73,0.39,0.67,,,,,,,,,Matches
2017-2018,29,Atalanta,3 Leagues,44,41,3619,9,10,2,5,4,0,0.22,0.25,0.47,0.17,0.42,11.9,9.6,10.1,0.36,0.31,0.67,0.3,0.6,Matches
2018-2019,30,Atalanta,2 Leagues,40,39,3344,9,11,0,0,5,0,0.24,0.3,0.54,0.24,0.54,8.8,8.8,12.4,0.27,0.39,0.66,0.27,0.66,Matches
2019-2020,31,Atalanta,3 Leagues,33,31,2578,7,12,0,0,2,0,0.24,0.42,0.66,0.24,0.66,8.9,8.9,8.7,0.32,0.31,0.62,0.32,0.62,Matches
