Season,Age,Squad,Comp,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,G9,Ast_2,G+A,G-PK,G+A-PK,xG,npxG,xA,xG_3,xA_4,xG+xA,npxG_5,npxG+xA,Matches
2008-2009,19,Rot Weiss Ahlen,1 League,27,22,2065,4,2,0,0,4,0,0.17,0.09,0.26,0.17,0.26,,,,,,,,,
2009-2010,20,M'gladbach,1 League,33,27,2469,8,4,0,0,0,0,0.29,0.15,0.44,0.29,0.44,,,,,,,,,
2010-2011,21,M'gladbach,1 League,32,32,2849,10,6,0,0,9,0,0.32,0.19,0.51,0.32,0.51,,,,,,,,,
2011-2012,22,M'gladbach,1 League,32,32,2767,18,8,0,0,3,0,0.59,0.26,0.85,0.59,0.85,,,,,,,,,
2012-2013,23,Dortmund,2 Leagues,45,40,3416,18,11,0,0,5,0,0.47,0.29,0.76,0.47,0.76,,,,,,,,,
2013-2014,24,Dortmund,2 Leagues,39,35,2975,21,15,7,7,8,0,0.64,0.45,1.09,0.42,0.88,,,,,,,,,
2014-2015,25,Dortmund,3 Leagues,29,27,2245,11,6,0,0,2,0,0.44,0.24,0.68,0.44,0.68,,,,,,,,,Matches
2015-2016,26,Dortmund,3 Leagues,40,38,3021,19,6,1,2,3,0,0.57,0.18,0.74,0.54,0.71,,,,,,,,,Matches
2016-2017,27,Dortmund,3 Leagues,24,22,1694,13,5,2,2,2,2,0.69,0.27,0.96,0.58,0.85,,,,,,,,,Matches
2017-2018,28,Dortmund,2 Leagues,15,14,1157,7,0,0,1,1,0,0.54,0,0.54,0.54,0.54,4.9,4.1,2.2,0.47,0.22,0.69,0.4,0.61,Matches
2018-2019,29,Dortmund,3 Leagues,36,35,3046,21,10,4,4,4,1,0.62,0.3,0.92,0.5,0.8,14.8,12.5,9,0.47,0.28,0.75,0.4,0.68,Matches
2019-2020,30,Dortmund,4 Leagues,26,25,2111,12,6,1,2,2,0,0.51,0.26,0.77,0.47,0.72,12.1,10.6,3.1,0.59,0.15,0.73,0.51,0.66,Matches
