Season,Age,Squad,Comp,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,G9,Ast_2,G+A,G-PK,G+A-PK,xG,npxG,xA,xG_3,xA_4,xG+xA,npxG_5,npxG+xA,Matches
2004-2005,21,Galatasaray,1 League,14,11,946,0,2,0,0,0,0,0,0.19,0.19,0,0.19,,,,,,,,,
2004-2005,21,Metz,1 League,20,20,1709,2,7,0,0,1,0,0.11,0.37,0.47,0.11,0.47,,,,,,,,,
2005-2006,22,Marseille,1 League,35,35,3050,6,5,0,1,6,0,0.18,0.15,0.32,0.18,0.32,,,,,,,,,
2006-2007,23,Marseille,1 League,25,25,2157,5,8,0,0,6,0,0.21,0.33,0.54,0.21,0.54,,,,,,,,,
2007-2008,24,Bayern Munich,1 League,28,26,2197,11,8,2,3,2,0,0.45,0.33,0.78,0.37,0.7,,,,,,,,,
2008-2009,25,Bayern Munich,2 Leagues,33,31,2783,13,12,2,3,6,1,0.42,0.39,0.81,0.36,0.74,,,,,,,,,
2009-2010,26,Bayern Munich,2 Leagues,26,17,1639,4,7,0,0,2,1,0.22,0.38,0.6,0.22,0.6,,,,,,,,,
2010-2011,27,Bayern Munich,2 Leagues,29,26,2312,9,13,0,0,6,0,0.35,0.51,0.86,0.35,0.86,,,,,,,,,
2011-2012,28,Bayern Munich,2 Leagues,44,39,3409,15,14,0,0,6,1,0.4,0.37,0.77,0.4,0.77,,,,,,,,,
2012-2013,29,Bayern Munich,2 Leagues,39,35,2963,11,17,0,0,4,0,0.33,0.52,0.85,0.33,0.85,,,,,,,,,
2013-2014,30,Bayern Munich,2 Leagues,32,28,2466,13,12,1,1,2,0,0.47,0.44,0.91,0.44,0.88,,,,,,,,,
2014-2015,31,Bayern Munich,3 Leagues,23,16,1502,9,7,0,0,2,0,0.54,0.42,0.96,0.54,0.96,,,,,,,,,Matches
2015-2016,32,Bayern Munich,3 Leagues,22,13,1331,2,3,0,0,3,0,0.14,0.2,0.34,0.14,0.34,,,,,,,,,Matches
2016-2017,33,Bayern Munich,4 Leagues,32,23,1941,5,16,0,1,4,0,0.23,0.74,0.97,0.23,0.97,,,,,,,,,Matches
2017-2018,34,Bayern Munich,4 Leagues,34,27,2233,6,5,0,0,7,0,0.24,0.2,0.44,0.24,0.44,3.4,3.4,4.6,0.25,0.34,0.6,0.25,0.6,Matches
2018-2019,35,Bayern Munich,4 Leagues,38,20,1936,7,3,0,0,4,0,0.33,0.14,0.46,0.33,0.46,4,4,2.8,0.23,0.16,0.38,0.23,0.38,Matches
2019-2020,36,Fiorentina,1 League,11,9,708,2,2,0,0,1,0,0.25,0.25,0.51,0.25,0.51,2.3,2.3,1.7,0.29,0.22,0.5,0.29,0.5,Matches
