Season,Age,Squad,Comp,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,G9,Ast_2,G+A,G-PK,G+A-PK,xG,npxG,xA,xG_3,xA_4,xG+xA,npxG_5,npxG+xA,Matches
2000-2001,16,Groningen,1 League,18,13,1226,2,3,0,0,1,0,0.15,0.22,0.37,0.15,0.37,,,,,,,,,
2001-2002,17,Groningen,1 League,28,27,2298,6,3,0,0,2,0,0.23,0.12,0.35,0.23,0.35,,,,,,,,,
2002-2003,18,PSV Eindhoven,2 Leagues,37,33,2919,13,8,0,0,4,0,0.4,0.25,0.65,0.4,0.65,,,,,,,,,
2003-2004,19,PSV Eindhoven,2 Leagues,29,26,2294,7,11,0,0,4,0,0.27,0.43,0.71,0.27,0.71,,,,,,,,,
2004-2005,20,Chelsea,2 Leagues,23,16,1486,8,9,0,0,5,0,0.48,0.55,1.03,0.48,1.03,,,,,,,,,
2005-2006,21,Chelsea,2 Leagues,34,27,2198,6,3,0,0,5,2,0.25,0.12,0.37,0.25,0.37,,,,,,,,,
2006-2007,22,Chelsea,2 Leagues,29,19,1701,3,6,0,0,3,0,0.16,0.32,0.48,0.16,0.48,,,,,,,,,
2007-2008,23,Real Madrid,2 Leagues,26,14,1411,4,3,0,0,4,0,0.26,0.19,0.45,0.26,0.45,,,,,,,,,
2008-2009,24,Real Madrid,2 Leagues,35,30,2569,8,6,0,0,3,1,0.28,0.21,0.49,0.28,0.49,,,,,,,,,
2009-2010,25,Bayern Munich,2 Leagues,34,26,2468,20,5,3,3,1,0,0.73,0.18,0.91,0.62,0.8,,,,,,,,,
2010-2011,26,Bayern Munich,2 Leagues,16,15,1288,12,8,0,0,3,1,0.84,0.56,1.4,0.84,1.4,,,,,,,,,
2011-2012,27,Bayern Munich,2 Leagues,32,25,2372,16,6,6,8,3,0,0.61,0.23,0.83,0.38,0.61,,,,,,,,,
2012-2013,28,Bayern Munich,2 Leagues,25,18,1712,9,7,0,0,1,0,0.47,0.37,0.84,0.47,0.84,,,,,,,,,
2013-2014,29,Bayern Munich,2 Leagues,38,30,2558,15,10,1,1,0,0,0.53,0.35,0.88,0.49,0.84,,,,,,,,,
2014-2015,30,Bayern Munich,3 Leagues,30,26,2197,19,9,2,2,0,0,0.78,0.37,1.15,0.7,1.07,,,,,,,,,Matches
2015-2016,31,Bayern Munich,4 Leagues,22,18,1523,7,3,1,1,1,0,0.41,0.18,0.59,0.35,0.53,,,,,,,,,Matches
2016-2017,32,Bayern Munich,3 Leagues,37,31,2727,16,9,0,0,3,0,0.53,0.3,0.83,0.53,0.83,,,,,,,,,Matches
2017-2018,33,Bayern Munich,3 Leagues,34,28,2328,7,10,0,1,0,0,0.27,0.39,0.66,0.27,0.66,5.1,4.3,5.1,0.3,0.3,0.6,0.26,0.56,Matches
2018-2019,34,Bayern Munich,4 Leagues,19,13,1005,6,2,0,0,3,1,0.54,0.18,0.72,0.54,0.72,4.6,4.6,2.5,0.47,0.25,0.72,0.47,0.72,Matches
