Season,Age,Squad,Comp,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,G9,Ast_2,G+A,G-PK,G+A-PK,xG,npxG,xA,xG_3,xA_4,xG+xA,npxG_5,npxG+xA,Matches
2012-2013,20,Basel,2 Leagues,43,22,2390,7,7,0,0,0,0,0.26,0.26,0.53,0.19,0.47,,,,,,,,,
2013-2014,21,Basel,2 Leagues,24,18,1681,6,3,0,0,1,0,0.32,0.16,0.48,0.32,0.48,,,,,,,,,
2013-2014,21,Chelsea,1 League,10,6,501,2,1,0,0,1,0,0.36,0.18,0.54,0.36,0.54,,,,,,,,,
2014-2015,22,Chelsea,4 Leagues,8,4,334,0,2,0,0,0,0,0,0.54,0.54,0,0.54,,,,,,,,,Matches
2014-2015,22,Fiorentina,3 Leagues,26,20,1789,9,4,0,0,1,0,0.45,0.2,0.65,0.45,0.65,,,,,,,,,Matches
2015-2016,23,Roma,3 Leagues,42,39,3386,15,6,0,0,2,1,0.4,0.16,0.56,0.4,0.56,,,,,,,,,Matches
2016-2017,24,Roma,3 Leagues,39,35,3003,19,12,0,0,2,0,0.57,0.36,0.93,0.57,0.93,,,,,,,,,Matches
2017-2018,25,Liverpool,3 Leagues,50,47,3927,43,14,1,2,1,0,0.99,0.32,1.31,0.96,1.28,22.9,21.4,8.4,0.7,0.26,0.95,0.65,0.91,Matches
2018-2019,26,Liverpool,4 Leagues,52,49,4331,27,10,5,5,2,0,0.56,0.21,0.77,0.46,0.66,25.4,21.6,11,0.53,0.23,0.76,0.45,0.68,Matches
2019-2020,27,Liverpool,5 Leagues,38,36,3232,20,8,3,3,1,0,0.56,0.22,0.78,0.47,0.7,19.5,17.2,7.1,0.59,0.21,0.8,0.52,0.74,Matches
